matchday,date,date_display,time_et,day_of_week,month,date_sort,home_team,away_team,stadium,venue_type,game_label
11,05/07/2026 19:00,"July 05, 2026",7:00 PM,Sunday,July,2026-07-05,Portland Thorns FC,Racing Louisville FC,Providence Park,home_venue,"July 05, 2026  7:00 PM  —  Portland Thorns FC vs Racing Louisville FC"
12,10/07/2026 20:00,"July 10, 2026",8:00 PM,Friday,July,2026-07-10,Orlando Pride,Kansas City Current,INTER&Co Stadium,home_venue,"July 10, 2026  8:00 PM  —  Orlando Pride vs Kansas City Current"
12,10/07/2026 20:00,"July 10, 2026",8:00 PM,Friday,July,2026-07-10,Racing Louisville FC,Bay FC,Lynn Family Stadium,home_venue,"July 10, 2026  8:00 PM  —  Racing Louisville FC vs Bay FC"
12,10/07/2026 20:00,"July 10, 2026",8:00 PM,Friday,July,2026-07-10,Boston Legacy FC,Chicago Stars FC,Centreville Bank Stadium,fifa_displaced,"July 10, 2026  8:00 PM  —  Boston Legacy FC vs Chicago Stars FC"
12,10/07/2026 22:00,"July 10, 2026",10:00 PM,Friday,July,2026-07-10,Utah Royals FC,NJ/NY Gotham FC,America First Field,home_venue,"July 10, 2026  10:00 PM  —  Utah Royals FC vs NJ/NY Gotham FC"
12,11/07/2026 18:30,"July 11, 2026",6:30 PM,Saturday,July,2026-07-11,North Carolina Courage,Washington Spirit,First Horizon Stadium at WakeMed Soccer Park,home_venue,"July 11, 2026  6:30 PM  —  North Carolina Courage vs Washington Spirit"
12,11/07/2026 20:45,"July 11, 2026",8:45 PM,Saturday,July,2026-07-11,San Diego Wave FC,Angel City FC,Snapdragon Stadium,home_venue,"July 11, 2026  8:45 PM  —  San Diego Wave FC vs Angel City FC"
12,12/07/2026 16:00,"July 12, 2026",4:00 PM,Sunday,July,2026-07-12,Seattle Reign FC,Portland Thorns FC,Lumen Field,home_venue,"July 12, 2026  4:00 PM  —  Seattle Reign FC vs Portland Thorns FC"
12,12/07/2026 19:00,"July 12, 2026",7:00 PM,Sunday,July,2026-07-12,Denver Summit FC,Houston Dash,Centennial Stadium,home_venue,"July 12, 2026  7:00 PM  —  Denver Summit FC vs Houston Dash"
13,15/07/2026 19:00,"July 15, 2026",7:00 PM,Wednesday,July,2026-07-15,Orlando Pride,Boston Legacy FC,INTER&Co Stadium,home_venue,"July 15, 2026  7:00 PM  —  Orlando Pride vs Boston Legacy FC"
13,15/07/2026 20:00,"July 15, 2026",8:00 PM,Wednesday,July,2026-07-15,NJ/NY Gotham FC,Washington Spirit,Citi Field,fifa_displaced,"July 15, 2026  8:00 PM  —  NJ/NY Gotham FC vs Washington Spirit"
13,17/07/2026 20:00,"July 17, 2026",8:00 PM,Friday,July,2026-07-17,Kansas City Current,San Diego Wave FC,CPKC Stadium,home_venue,"July 17, 2026  8:00 PM  —  Kansas City Current vs San Diego Wave FC"
13,18/07/2026 12:00,"July 18, 2026",12:00 PM,Saturday,July,2026-07-18,NJ/NY Gotham FC,Seattle Reign FC,Icahn Stadium,fifa_displaced,"July 18, 2026  12:00 PM  —  NJ/NY Gotham FC vs Seattle Reign FC"
13,18/07/2026 14:00,"July 18, 2026",2:00 PM,Saturday,July,2026-07-18,Denver Summit FC,Portland Thorns FC,Centennial Stadium,home_venue,"July 18, 2026  2:00 PM  —  Denver Summit FC vs Portland Thorns FC"
13,18/07/2026 16:00,"July 18, 2026",4:00 PM,Saturday,July,2026-07-18,Bay FC,North Carolina Courage,PayPal Park,home_venue,"July 18, 2026  4:00 PM  —  Bay FC vs North Carolina Courage"
13,18/07/2026 18:30,"July 18, 2026",6:30 PM,Saturday,July,2026-07-18,Chicago Stars FC,Angel City FC,Northwestern Martin Stadium (temporary),home_venue,"July 18, 2026  6:30 PM  —  Chicago Stars FC vs Angel City FC"
13,18/07/2026 20:00,"July 18, 2026",8:00 PM,Saturday,July,2026-07-18,Racing Louisville FC,Houston Dash,Lynn Family Stadium,home_venue,"July 18, 2026  8:00 PM  —  Racing Louisville FC vs Houston Dash"
13,18/07/2026 20:45,"July 18, 2026",8:45 PM,Saturday,July,2026-07-18,Utah Royals FC,Orlando Pride,America First Field,home_venue,"July 18, 2026  8:45 PM  —  Utah Royals FC vs Orlando Pride"
13,19/07/2026 19:00,"July 19, 2026",7:00 PM,Sunday,July,2026-07-19,Boston Legacy FC,Washington Spirit,Centreville Bank Stadium,fifa_displaced,"July 19, 2026  7:00 PM  —  Boston Legacy FC vs Washington Spirit"
14,24/07/2026 20:00,"July 24, 2026",8:00 PM,Friday,July,2026-07-24,Orlando Pride,Chicago Stars FC,INTER&Co Stadium,home_venue,"July 24, 2026  8:00 PM  —  Orlando Pride vs Chicago Stars FC"
